framw_id,Timestamp,Trans_x,Trans_y,Trans_z,Quaternion_x,Quaternion_y,Quaternion_z,Quaternion_w
666,22.2000000000003,-0.936907758,0.13361888,-6.7327937,0.0130080209,-0.72731892,0.00431761048,0.686162763
667,22.2333333333336,-0.939230683,0.128471559,-6.75922379,0.0130375661,-0.727195884,0.0045087808,0.686291366
668,22.2666666666669,-0.950380941,0.129034414,-6.78824554,0.0136203733,-0.726424768,0.00502084657,0.687092667
669,22.3000000000003,-0.954398892,0.133437669,-6.81088002,0.0141432358,-0.726758732,0.00493096767,0.686729495
670,22.3333333333336,-0.968914609,0.135429486,-6.84352513,0.0138114274,-0.725586278,0.00467237118,0.687976719
671,22.3666666666669,-0.977211226,0.128979112,-6.87027922,0.013734858,-0.72516379,0.00515020305,0.688420152
672,22.4000000000003,-0.976912627,0.130221213,-6.89964324,0.014057867,-0.725188372,0.00540481265,0.688385785
673,22.4333333333336,-0.992514433,0.115924088,-6.92817027,0.0132506158,-0.72441396,0.00604893236,0.689211322
674,22.4666666666669,-0.994545466,0.137941862,-6.95171614,0.0141455196,-0.724532096,0.00469649355,0.689079886
675,22.5000000000003,-1.00316695,0.127788626,-6.98676897,0.0131735701,-0.723785899,0.00502782374,0.689880534
676,22.5333333333336,-1.00167965,0.138870829,-7.01114738,0.014592115,-0.724038581,0.0048577265,0.689587998
677,22.5666666666669,-1.00359565,0.129328216,-7.04190849,0.0137104744,-0.723973453,0.00493046073,0.689673947
678,22.6000000000003,-1.00694316,0.139273142,-7.06865908,0.0138551296,-0.724041167,0.00408522117,0.689605492
679,22.6333333333336,-1.02105853,0.124138306,-7.10015307,0.0128767009,-0.722948586,0.00497289913,0.690763928
680,22.666666666667,-1.02513537,0.132088747,-7.12452827,0.0143675365,-0.722711668,0.00513309744,0.690981237
681,22.7000000000003,-1.03102956,0.128581286,-7.15158833,0.013647395,-0.722511591,0.00479211034,0.691207483
682,22.7333333333336,-1.0264618,0.1361931,-7.17934401,0.0140963104,-0.722697739,0.00456047117,0.691005408
683,22.766666666667,-1.03506071,0.12714533,-7.20800126,0.0137940989,-0.722494864,0.00513243688,0.691219612
684,22.8000000000003,-1.04113084,0.135700551,-7.23518615,0.014107739,-0.72213634,0.00459642819,0.691591607
685,22.8333333333336,-1.04269534,0.13348264,-7.26361725,0.0142547664,-0.722173795,0.00480385641,0.691548071
686,22.866666666667,-1.05218946,0.137089902,-7.28944027,0.014219745,-0.721728541,0.00453182667,0.692015299
687,22.9000000000003,-1.05619798,0.133289847,-7.31856929,0.0139665071,-0.721243773,0.0047121601,0.692524478
688,22.9333333333336,-1.05463254,0.132949832,-7.3467664,0.0145731282,-0.721533709,0.00499875343,0.692207876
689,22.966666666667,-1.05942993,0.135647807,-7.37189006,0.0142499667,-0.721139329,0.00467483972,0.692627715
690,23.0000000000003,-1.07424977,0.133574066,-7.40505307,0.0140269975,-0.720623086,0.00470987049,0.693169119
691,23.0333333333336,-1.06518371,0.132173266,-7.43319319,0.0138708606,-0.721049903,0.00483127051,0.692727432
692,23.066666666667,-1.06927579,0.134533318,-7.46490463,0.0139914623,-0.720813092,0.00448612383,0.692973737
693,23.1000000000003,-1.07346974,0.134912664,-7.48806653,0.0145861666,-0.720477745,0.0048780474,0.693307484
694,23.1333333333336,-1.08049861,0.133479731,-7.51715062,0.0145449652,-0.720143356,0.00499310081,0.693654856
695,23.166666666667,-1.08451439,0.13173572,-7.54549525,0.0136309358,-0.719762658,0.00464283077,0.69407086
696,23.2000000000003,-1.08846626,0.127887029,-7.578226,0.013605287,-0.719699701,0.00488005109,0.694135017
697,23.2333333333336,-1.09644893,0.129577227,-7.61008031,0.0137189208,-0.719554599,0.00472225088,0.694284287
698,23.266666666667,-1.10025512,0.120953579,-7.63655039,0.013287772,-0.719245139,0.00516524685,0.694610096
699,23.3000000000003,-1.09960842,0.127692661,-7.66667183,0.0135711548,-0.719251751,0.00480067568,0.694600386
700,23.3333333333337,-1.10067207,0.122388469,-7.68920499,0.013811108,-0.719020114,0.00545383755,0.694830615
701,23.366666666667,-1.10268177,0.131527011,-7.71387462,0.0145459135,-0.719223129,0.00507291345,0.694608359
702,23.4000000000003,-1.121475,0.123939214,-7.74587452,0.0142375017,-0.718112959,0.00563188567,0.695758114
703,23.4333333333337,-1.10766134,0.126720247,-7.76789349,0.014096019,-0.718836004,0.00525016791,0.695016933
704,23.466666666667,-1.12391032,0.130938497,-7.79645839,0.0140486579,-0.718048956,0.00493030284,0.695833331
705,23.5000000000003,-1.12384878,0.123045793,-7.82342843,0.013705657,-0.718034749,0.00524863103,0.695852503
706,23.5333333333337,-1.12909604,0.125379007,-7.85251289,0.0140405468,-0.717833201,0.00529754462,0.696053371
707,23.566666666667,-1.13300242,0.130112359,-7.87769884,0.0137203981,-0.717535633,0.00463378165,0.696371233
708,23.6000000000003,-1.1302383,0.123088052,-7.90879229,0.0137937751,-0.717766972,0.005222782,0.696127164
709,23.6333333333337,-1.1233541,0.122010145,-7.94183663,0.0134752156,-0.718149211,0.00506968141,0.695740201
710,23.666666666667,-1.14195012,0.136123912,-7.9666315,0.0149760561,-0.717346485,0.00506014378,0.696537244
711,23.7000000000003,-1.1292114,0.122490462,-7.99892457,0.0140659517,-0.717889871,0.00550772744,0.695992778
712,23.7333333333337,-1.14669809,0.116385461,-8.02644806,0.01411198,-0.717146804,0.0060081889,0.696753339
713,23.766666666667,-1.14711703,0.128632115,-8.05606853,0.0144960192,-0.717170312,0.00529629125,0.696727033
714,23.8000000000003,-1.14482285,0.126151198,-8.08556263,0.014198729,-0.717264377,0.00524755758,0.696636687
715,23.8333333333337,-1.14323289,0.13177291,-8.11444905,0.0143362381,-0.717389005,0.00487505021,0.696508235
716,23.866666666667,-1.15338941,0.121731136,-8.14219689,0.0137333784,-0.716842794,0.00523587165,0.697079901
717,23.9000000000003,-1.15183685,0.129253485,-8.17338772,0.0141986388,-0.716935921,0.00501074011,0.696976453
718,23.9333333333337,-1.15949243,0.133715689,-8.20049506,0.0142479804,-0.716576474,0.00469632409,0.697347185
719,23.966666666667,-1.15174653,0.125117913,-8.23251478,0.0144623649,-0.717007938,0.00550266605,0.696893233
720,24.0000000000004,-1.14616426,0.124150399,-8.25954502,0.0141594026,-0.717243819,0.00531618388,0.696658132
721,24.0333333333337,-1.15614566,0.125683198,-8.29035608,0.0142742837,-0.716826282,0.00532253856,0.697085359
722,24.066666666667,-1.16021442,0.12758856,-8.31818514,0.0142114554,-0.716573894,0.00511432302,0.697347641
723,24.1000000000004,-1.1577588,0.115145335,-8.34789223,0.0138237215,-0.716658503,0.00579200449,0.697263184
724,24.1333333333337,-1.16437667,0.123112961,-8.37592596,0.0136269496,-0.71635834,0.00501852805,0.697581429
725,24.166666666667,-1.16662211,0.129054677,-8.40550187,0.0140054926,-0.716281377,0.00480422501,0.697654466
726,24.2000000000004,-1.16217604,0.113807908,-8.43842987,0.0143571428,-0.7164855,0.00623926346,0.697426321
727,24.2333333333337,-1.15984653,0.119743677,-8.46367384,0.0142781664,-0.716623472,0.00571342534,0.697290678
728,24.266666666667,-1.16472083,0.124582258,-8.49368148,0.0135055657,-0.716311336,0.00479133155,0.697633652
729,24.3000000000004,-1.17073454,0.11853698,-8.52223307,0.0144771502,-0.71612132,0.00598905259,0.69779997
730,24.3333333333337,-1.16966551,0.121425457,-8.55198883,0.014351029,-0.716198045,0.00565840659,0.697726587
731,24.366666666667,-1.17254063,0.116529966,-8.58023504,0.0135044624,-0.716028193,0.00542533187,0.697919639
732,24.4000000000004,-1.16875117,0.125448963,-8.60977539,0.0134487666,-0.716176314,0.00467056623,0.697774178
733,24.4333333333337,-1.18218142,0.109060975,-8.63867442,0.0132402283,-0.715591927,0.00577926015,0.698369164
734,24.466666666667,-1.15994468,0.124914825,-8.67114205,0.0138988571,-0.716567175,0.00504950511,0.697361318
735,24.5000000000004,-1.17803491,0.111130285,-8.69964415,0.0132686447,-0.715814111,0.00563287482,0.698142086
736,24.5333333333337,-1.17247834,0.109167642,-8.72895275,0.012975655,-0.716058374,0.00549863698,0.697898132
737,24.566666666667,-1.17758625,0.117250296,-8.75521642,0.0131596211,-0.715709793,0.00513066867,0.698254963
738,24.6000000000004,-1.16525093,0.110321568,-8.78835172,0.0136035566,-0.7162855,0.00592924376,0.697649532
739,24.6333333333337,-1.1886834,0.115498304,-8.81510012,0.0145512518,-0.715286178,0.00632233066,0.698651539
740,24.6666666666671,-1.18680639,0.118945249,-8.84714869,0.0147796966,-0.71546817,0.00612188798,0.698462154
741,24.7000000000004,-1.17798067,0.105854717,-8.8753522,0.014001376,-0.71575705,0.00656564845,0.698178129
742,24.7333333333337,-1.17731188,0.121353737,-8.90562109,0.0146125593,-0.715801805,0.00587195112,0.698125898
743,24.7666666666671,-1.19482886,0.119968987,-8.93315748,0.0143464177,-0.715057078,0.00572187412,0.698895425
744,24.8000000000004,-1.1745949,0.115148807,-8.96947265,0.0144416197,-0.715986247,0.00615385159,0.697937865
745,24.8333333333337,-1.17693415,0.10581704,-8.99385536,0.0138919257,-0.715750214,0.00644150148,0.69818848
746,24.8666666666671,-1.19741003,0.108394183,-9.0245942,0.0136821873,-0.714987778,0.00605455746,0.698976836
747,24.9000000000004,-1.20482109,0.110543655,-9.05303954,0.0129867799,-0.714676398,0.00535125358,0.699314203
748,24.9333333333337,-1.19491006,0.0988035298,-9.08590711,0.014292005,-0.715230686,0.00722632165,0.698704934
749,24.9666666666671,-1.18095487,0.120960096,-9.11467634,0.0135793965,-0.715614274,0.00505012413,0.698345406
